group_id,gene_id,protein_name,go_bp,go_cc,go_mf,n_exons,mean_expr_gene,sd_expr_gene,cv_expr_gene,mean_gbm,species
OG_00001,FUN_000185,Glutamyl aminopeptidase (EAP) (EC 3.4.11.7) (Aminopeptidase A) (AP-A) (CD antigen CD249),cell migration [GO:0016477]; cell population proliferation [GO:0008283]; peptide catabolic process [GO:0043171]; proteolysis [GO:0006508]; regulation of blood pressure [GO:0008217]; regulation of systemic arterial blood pressure by renin-angiotensin [GO:0003081],cytoplasm [GO:0005737]; extracellular space [GO:0005615]; plasma membrane [GO:0005886],aminopeptidase activity [GO:0004177]; glutamyl aminopeptidase activity [GO:0004230]; metalloaminopeptidase activity [GO:0070006]; peptide binding [GO:0042277]; zinc ion binding [GO:0008270],21,165.99285714285713,161.96459781825337,0.9757323333428922,1.4726460914128205,Acropora pulchra
OG_00002,FUN_000189,NA,NA,NA,NA,6,672.5375,162.38590590780964,0.24145256719188096,54.571617784615384,Acropora pulchra
OG_00005,FUN_000192,NA,NA,NA,NA,6,156.05833333333334,49.55058694573321,0.3175132393596404,66.83658719179488,Acropora pulchra
OG_00007,FUN_000194,NA,NA,NA,NA,20,113.155,101.0794761561416,0.8932833383954893,27.574244915897435,Acropora pulchra
OG_00008,FUN_000195,NA,NA,NA,NA,7,19.11428571428571,8.888849020247891,0.4650369442581109,37.436847875384615,Acropora pulchra
OG_00009,FUN_000197,NA,NA,NA,NA,12,103.12291666666668,145.29178692389283,1.4089185180199308,72.40046133153847,Acropora pulchra
OG_00011,FUN_000200,Cytoplasmic polyadenylation element-binding protein 1 (CPE-BP1) (CPE-binding protein 1) (CPEB-1),cellular response to amino acid stimulus [GO:0071230]; cellular response to hypoxia [GO:0071456]; cellular response to insulin stimulus [GO:0032869]; mRNA processing [GO:0006397]; negative regulation of cytoplasmic translation [GO:2000766]; regulation of mRNA 3'-end processing [GO:0031440],cytoplasm [GO:0005737]; dendrite [GO:0030425]; membrane [GO:0016020]; nucleus [GO:0005634]; P-body [GO:0000932]; postsynaptic density [GO:0014069]; ribonucleoprotein complex [GO:1990904],"metal ion binding [GO:0046872]; mRNA 3'-UTR AU-rich region binding [GO:0035925]; mRNA regulatory element binding translation repressor activity [GO:0000900]; ribosome binding [GO:0043022]; translation factor activity, RNA binding [GO:0008135]",12,2.1416666666666666,1.519207827863727,0.7093577406367598,38.43214520717949,Acropora pulchra
OG_00012,FUN_000202,NA,NA,NA,NA,14,90.05178571428571,73.79995665537456,0.8195279646038937,42.60667246384615,Acropora pulchra
OG_00013,FUN_000203,NA,NA,NA,NA,6,280.1541666666667,77.8717911323906,0.27796049603304346,62.8105436274359,Acropora pulchra
OG_00015,FUN_000208,TELO2-interacting protein 2,positive regulation of DNA damage checkpoint [GO:2000003]; protein stabilization [GO:0050821],nucleus [GO:0005634]; TTT Hsp90 cochaperone complex [GO:0110078],NA,8,30.240625,13.871546787141552,0.458705691008091,29.96695465138889,Acropora pulchra
OG_00016,FUN_000210,Endoplasmic reticulum aminopeptidase 1 (EC 3.4.11.-) (ARTS-1) (Adipocyte-derived leucine aminopeptidase) (A-LAP) (Aminopeptidase PILS) (Puromycin-insensitive leucyl-specific aminopeptidase) (PILS-AP) (VEGF-induced aminopeptidase),adaptive immune response [GO:0002250]; membrane protein ectodomain proteolysis [GO:0006509]; positive regulation of angiogenesis [GO:0045766]; proteolysis [GO:0006508],cytoplasm [GO:0005737]; endoplasmic reticulum membrane [GO:0005789]; extracellular region [GO:0005576],aminopeptidase activity [GO:0004177]; interleukin-6 receptor binding [GO:0005138]; metalloexopeptidase activity [GO:0008235]; peptidase activity [GO:0008233]; zinc ion binding [GO:0008270],18,71.8638888888889,47.38468837937481,0.6593671607813741,15.817699751871794,Acropora pulchra
OG_00017,FUN_000212,Glutamyl aminopeptidase (EAP) (EC 3.4.11.7) (Aminopeptidase A) (AP-A) (CD antigen CD249),cell migration [GO:0016477]; cell population proliferation [GO:0008283]; peptide catabolic process [GO:0043171]; proteolysis [GO:0006508]; regulation of blood pressure [GO:0008217]; regulation of systemic arterial blood pressure by renin-angiotensin [GO:0003081],cytoplasm [GO:0005737]; extracellular space [GO:0005615]; plasma membrane [GO:0005886],aminopeptidase activity [GO:0004177]; glutamyl aminopeptidase activity [GO:0004230]; metalloaminopeptidase activity [GO:0070006]; peptide binding [GO:0042277]; zinc ion binding [GO:0008270],18,38.5125,30.788621429983248,0.7994448926967412,0.5809410126410256,Acropora pulchra
OG_00018,FUN_000213,NA,NA,NA,NA,11,79.52954545454546,95.92209066358348,1.2061189349863324,0.6132201353538461,Acropora pulchra
OG_00019,FUN_000215,NA,NA,NA,NA,21,42.77857142857143,34.35150040911084,0.8030071893931403,0.7934718940769231,Acropora pulchra
OG_00020,FUN_000216,NA,NA,NA,NA,8,80.55625,56.52316647370603,0.7016608453559596,23.147940886666667,Acropora pulchra
OG_00021,FUN_000217,NA,NA,NA,NA,10,37.142500000000005,22.42598334893404,0.6037822803778431,15.629215092410256,Acropora pulchra
OG_00022,FUN_000219,NA,NA,NA,NA,28,14.875,27.85130906558373,1.8723569119720156,0.3856909682653846,Acropora pulchra
